epoch,loss,violation_rate,mean_margin,p10_margin,mean_pos_sim,mean_max_neg_sim
1,8.59689998626709,0.9383308291435242,-0.115979865193367,-0.22266820073127747,0.6171572804450989,0.7331371307373047
2,8.596884727478027,0.9235597848892212,-0.09135720878839493,-0.18691372871398926,0.7007949352264404,0.7921522259712219
3,8.596885681152344,0.9516248106956482,-0.08301541954278946,-0.1600901484489441,0.7430680990219116,0.8260834813117981
4,8.596843719482422,0.9158049821853638,-0.05976363271474838,-0.12557116150856018,0.801283061504364,0.8610466718673706
5,8.596837043762207,0.953840434551239,-0.06238522008061409,-0.12144342809915543,0.8179641962051392,0.8803494572639465
6,8.596753120422363,0.8903249502182007,-0.038648270070552826,-0.0924413874745369,0.8820205330848694,0.9206687808036804
7,8.596725463867188,0.9279910922050476,-0.03675514832139015,-0.08013606071472168,0.8832515478134155,0.9200068116188049
8,8.596576690673828,0.9124815464019775,-0.02947184257209301,-0.06632521748542786,0.9069488048553467,0.9364206194877625
9,8.596440315246582,0.9091580510139465,-0.025748739019036293,-0.058864496648311615,0.9221328496932983,0.9478815197944641
10,8.596236228942871,0.9387001395225525,-0.024997828528285027,-0.052655190229415894,0.9324624538421631,0.9574601650238037
11,8.595685005187988,0.9154357314109802,-0.02221127785742283,-0.04951169341802597,0.9399713277816772,0.9621826410293579
12,8.595224380493164,0.8980797529220581,-0.01724267564713955,-0.04155242443084717,0.9535425901412964,0.9707851409912109
13,8.594212532043457,0.895494818687439,-0.015860702842473984,-0.037630122154951096,0.9558207988739014,0.9716814756393433
14,8.593271255493164,0.9220827221870422,-0.015175088308751583,-0.03357643261551857,0.9594014286994934,0.974576473236084
15,8.591442108154297,0.9091580510139465,-0.014455931261181831,-0.03235935419797897,0.9646015763282776,0.9790574312210083
16,8.589011192321777,0.9257754683494568,-0.013003881089389324,-0.027891188859939575,0.9666275382041931,0.9796315431594849
17,8.584959983825684,0.9187592267990112,-0.011491486802697182,-0.025584960356354713,0.9722223877906799,0.9837138056755066
18,8.581863403320312,0.9198670387268066,-0.010229479521512985,-0.022463005036115646,0.9735292196273804,0.9837586879730225
19,8.576329231262207,0.9220827221870422,-0.008745736442506313,-0.019189059734344482,0.9777534604072571,0.9864991903305054
20,8.570067405700684,0.917651355266571,-0.008015456609427929,-0.01782662235200405,0.9788141846656799,0.9868297576904297
21,8.56139087677002,0.9224519729614258,-0.007474525365978479,-0.016357511281967163,0.9819049835205078,0.9893795251846313
22,8.549467086791992,0.9327917098999023,-0.006759484298527241,-0.015171718783676624,0.982222855091095,0.9889823794364929
23,8.538032531738281,0.9047267436981201,-0.006215133238583803,-0.014268380589783192,0.9849302172660828,0.9911453127861023
24,8.523157119750977,0.916912853717804,-0.005967461038380861,-0.013214677572250366,0.9844427108764648,0.9904101490974426
25,8.513252258300781,0.9290989637374878,-0.00661562941968441,-0.014568626880645752,0.9837356209754944,0.9903512001037598
26,8.503945350646973,0.9198670387268066,-0.0062531777657568455,-0.014412092976272106,0.9847702383995056,0.9910234212875366
27,8.497554779052734,0.9076809287071228,-0.005310574546456337,-0.012581133283674717,0.9874972105026245,0.9928077459335327
28,8.488903999328613,0.9128507971763611,-0.005246829241514206,-0.011825156398117542,0.9883372783660889,0.993584156036377
29,8.48884391784668,0.9062038064002991,-0.004980505909770727,-0.011393624357879162,0.9878638982772827,0.9928443431854248
30,8.488353729248047,0.9324224591255188,-0.005817434750497341,-0.012831693515181541,0.9881362318992615,0.9939536452293396
31,8.47892951965332,0.9224519729614258,-0.0062391627579927444,-0.013840656727552414,0.9862940907478333,0.9925332069396973
32,8.481428146362305,0.9309453368186951,-0.005826795473694801,-0.013475865125656128,0.9873231649398804,0.993149995803833
33,8.469937324523926,0.8895863890647888,-0.004825389478355646,-0.011477619409561157,0.9884238839149475,0.993249237537384
34,8.475472450256348,0.9320531487464905,-0.005859253462404013,-0.012930911965668201,0.987682580947876,0.993541955947876
