epoch,loss,violation_rate,mean_margin,p10_margin,mean_pos_sim,mean_max_neg_sim
1,8.596823692321777,0.7422451972961426,-0.06000953167676926,-0.18215711414813995,0.7432330250740051,0.803242564201355
2,8.596797943115234,0.7847119569778442,-0.06201903522014618,-0.16747918725013733,0.7678792476654053,0.8298981785774231
3,8.596719741821289,0.7470457553863525,-0.04144074767827988,-0.1314699500799179,0.8260297775268555,0.867470383644104
4,8.596571922302246,0.7307976484298706,-0.031867463141679764,-0.10098470747470856,0.860855221748352,0.8927227258682251
5,8.596439361572266,0.7677252292633057,-0.02971169538795948,-0.09025445580482483,0.8823379278182983,0.9120494723320007
6,8.596162796020508,0.7263662815093994,-0.024606116116046906,-0.07674282044172287,0.9035786986351013,0.9281848669052124
7,8.595736503601074,0.695716381072998,-0.018905119970440865,-0.06729469448328018,0.9178255796432495,0.9367308020591736
8,8.595070838928223,0.6997784376144409,-0.016697445884346962,-0.05883293226361275,0.9324642419815063,0.9491617679595947
9,8.594305038452148,0.75480055809021,-0.01762075163424015,-0.05329860746860504,0.9361371994018555,0.9537578821182251
10,8.593135833740234,0.7355982065200806,-0.014914612285792828,-0.046592555940151215,0.9445728659629822,0.9594874978065491
11,8.59118938446045,0.6805760860443115,-0.012055488303303719,-0.04073513671755791,0.9543880820274353,0.9664434194564819
12,8.588796615600586,0.6754062175750732,-0.009453237988054752,-0.035601768642663956,0.9603068232536316,0.9697601795196533
13,8.585409164428711,0.6432791352272034,-0.008205209858715534,-0.03228136524558067,0.9655632376670837,0.9737684726715088
14,8.581526756286621,0.6643279194831848,-0.007183135487139225,-0.026482848450541496,0.9693450331687927,0.9765282273292542
15,8.577093124389648,0.7389217019081116,-0.008260875940322876,-0.024870650842785835,0.9700907468795776,0.9783517122268677
16,8.569596290588379,0.6680206656455994,-0.006356606725603342,-0.022787533700466156,0.9742224216461182,0.9805790781974792
17,8.563517570495605,0.7215657234191895,-0.007225640583783388,-0.021886711940169334,0.9755842685699463,0.9828099012374878
