epoch,loss,violation_rate,mean_margin,p10_margin,mean_pos_sim,mean_max_neg_sim
1,8.802806854248047,0.8025248050689697,-0.06821134686470032,-0.17752903699874878,0.479275643825531,0.5474870204925537
2,8.802781105041504,0.8178539276123047,-0.04222828522324562,-0.110554039478302,0.7909331321716309,0.833161473274231
3,8.80276107788086,0.8295761942863464,-0.02364400587975979,-0.06338270008563995,0.8898906707763672,0.9135347008705139
4,8.802699089050293,0.788999080657959,-0.011938320472836494,-0.0342588797211647,0.9381634593009949,0.9501018524169922
5,8.802536010742188,0.7577397227287292,-0.006938159465789795,-0.02161022461950779,0.9624050259590149,0.9693431854248047
6,8.801970481872559,0.8142470717430115,-0.005676725879311562,-0.01575404405593872,0.9749895930290222,0.9806662797927856
7,8.800078392028809,0.7902013659477234,-0.0036433804780244827,-0.010371660813689232,0.98321133852005,0.9868547320365906
8,8.795852661132812,0.7959122657775879,-0.0026840048376470804,-0.007509088609367609,0.9890398383140564,0.9917237162590027
9,8.78431224822998,0.7454162836074829,-0.001718006213195622,-0.005178594496101141,0.9922840595245361,0.994002103805542
10,8.768519401550293,0.8373910784721375,-0.0022168289870023727,-0.005716836545616388,0.9922840595245361,0.9945009350776672
11,8.726547241210938,0.7117523550987244,-0.001230505877174437,-0.0038868666160851717,0.9942951798439026,0.9955256581306458
12,8.712552070617676,0.8271716237068176,-0.0015525706112384796,-0.00400730362161994,0.9945926666259766,0.9961453080177307
13,8.758712768554688,0.7971145510673523,-0.0018621314084157348,-0.004913544747978449,0.9932496547698975,0.9951117634773254
14,8.746467590332031,0.7463180422782898,-0.0016487033572047949,-0.004643845371901989,0.9936744570732117,0.995323121547699
15,8.733811378479004,0.8004208207130432,-0.0015861791325733066,-0.004236149601638317,0.994448721408844,0.9960348606109619
16,8.73597240447998,0.7658551335334778,-0.0014059962704777718,-0.00388319487683475,0.9949463605880737,0.99635249376297
17,8.701688766479492,0.8226630687713623,-0.0017450881423428655,-0.004454087931662798,0.9942866563796997,0.9960318207740784
18,8.689149856567383,0.7697625756263733,-0.0023111605551093817,-0.006426775362342596,0.9925898909568787,0.9949010014533997
19,8.656118392944336,0.7757740020751953,-0.002431602915748954,-0.006470000836998224,0.9922127723693848,0.9946443438529968
20,8.69085693359375,0.8022242188453674,-0.002079593949019909,-0.005468428134918213,0.9934120178222656,0.995491623878479
21,8.662798881530762,0.8124436736106873,-0.002342495834454894,-0.005985260009765625,0.9929394125938416,0.9952818751335144
