epoch,loss,violation_rate,mean_margin,p10_margin,mean_pos_sim,mean_max_neg_sim
1,8.596733093261719,0.4025110602378845,0.0030711933504790068,-0.057289574295282364,0.8240523338317871,0.8209810853004456
2,8.589495658874512,0.3360413610935211,4.111813541385345e-05,-0.0005543112638406456,0.9988006353378296,0.9987595081329346
3,8.469552993774414,0.5653618574142456,-0.0021515132393687963,-0.008196198381483555,0.9902352690696716,0.9923868179321289
4,8.596513748168945,0.47045788168907166,-0.0001305157202295959,-0.0006232559680938721,0.9992220401763916,0.9993525743484497
5,8.59681510925293,0.45310190320014954,-4.152709152549505e-05,-0.00015429258928634226,0.9998034238815308,0.999845027923584
6,8.596780776977539,0.6632200479507446,-4.87284705741331e-05,-0.00014976263628341258,0.9998651146888733,0.9999138116836548
7,8.596710205078125,0.5439438819885254,-1.4832311535428744e-05,-4.9114227294921875e-05,0.9999500513076782,0.9999648332595825
8,8.596641540527344,0.5432053208351135,-1.1035509487555828e-05,-3.0416249501286075e-05,0.9999644756317139,0.9999754428863525
9,8.596624374389648,0.6750369071960449,-1.4840896255918778e-05,-4.100799560546875e-05,0.9999613761901855,0.9999761581420898
10,8.59661865234375,0.7149187326431274,-1.4708656635775696e-05,-3.832578659057617e-05,0.9999711513519287,0.999985933303833
11,8.596637725830078,0.5454209446907043,-5.706286174245179e-06,-1.8894672393798828e-05,0.9999852180480957,0.9999908804893494
12,8.596650123596191,0.5915805101394653,-5.290638455335284e-06,-1.5217065083561465e-05,0.9999866485595703,0.9999918937683105
13,8.596656799316406,0.5284342765808105,-3.236853444832377e-06,-1.1283158528385684e-05,0.9999902248382568,0.9999933838844299
14,8.596673965454102,0.7451993823051453,-9.887195119517855e-06,-2.6082991098519415e-05,0.9999838471412659,0.9999936819076538
15,8.596672058105469,0.6761447191238403,-8.056949809542857e-06,-2.127289553754963e-05,0.9999868273735046,0.9999947547912598
16,8.596686363220215,0.6462333798408508,-6.25685879640514e-06,-1.6486643289681524e-05,0.9999893307685852,0.9999955892562866
17,8.596691131591797,0.6211225986480713,-4.6956047299318016e-06,-1.3113021850585938e-05,0.9999901652336121,0.9999948143959045
18,8.596693992614746,0.6037666201591492,-3.3259082101722015e-06,-9.5367431640625e-06,0.9999929666519165,0.9999963641166687
19,8.596686363220215,0.7488921284675598,-5.874997441424057e-06,-1.4841556549072266e-05,0.9999905824661255,0.9999964833259583
20,8.596680641174316,0.7119645476341248,-4.227549652568996e-06,-1.1104344594059512e-05,0.9999921321868896,0.9999963641166687
21,8.596687316894531,0.6370014548301697,-3.5452217161946464e-06,-1.0848045349121094e-05,0.9999930262565613,0.999996542930603
22,8.5966796875,0.6536188721656799,-3.229567937523825e-06,-8.046627044677734e-06,0.9999937415122986,0.9999970197677612
23,8.59667682647705,0.746676504611969,-5.527626399270957e-06,-1.2278556823730469e-05,0.9999907612800598,0.9999963641166687
