timestamp,stage,dataset,method,run_idx,seed,eval_seed,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,params_json,metric,baseline_method,target_method,test_name,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,p_value,p_value_holm,p_value_paired_ttest,effect_size,effect_size_name,cohen_dz,rank_biserial,significant,notes
2026-05-22 01:00:29,run,CiteSeer,gca,2,38110,38110,,0.717100,0.000900,0.639200,0.011200,0.716650,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""eval_repeats"": 3, ""eval_seed"": 38110, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38110, ""tau"": 1.0}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-22 01:00:56,run,CiteSeer,gca,3,38111,38111,,0.721400,0.001300,0.641700,0.015700,0.720750,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""eval_repeats"": 3, ""eval_seed"": 38111, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38111, ""tau"": 1.0}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-22 01:01:23,run,CiteSeer,gca,4,38112,38112,,0.719900,0.006200,0.659000,0.011200,0.716800,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""eval_repeats"": 3, ""eval_seed"": 38112, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38112, ""tau"": 1.0}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-22 01:01:49,run,CiteSeer,gca,5,38113,38113,,0.712300,0.007800,0.662800,0.006000,0.708400,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""eval_repeats"": 3, ""eval_seed"": 38113, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38113, ""tau"": 1.0}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-22 01:02:15,run,CiteSeer,gca,6,38114,38114,,0.715000,0.008300,0.665600,0.008600,0.710850,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""eval_repeats"": 3, ""eval_seed"": 38114, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38114, ""tau"": 1.0}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-22 01:02:42,run,CiteSeer,gca,7,38115,38115,,0.716100,0.004300,0.663400,0.003300,0.713950,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""eval_repeats"": 3, ""eval_seed"": 38115, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38115, ""tau"": 1.0}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-22 01:03:09,run,CiteSeer,gca,8,38116,38116,,0.716900,0.007400,0.670100,0.008900,0.713200,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""eval_repeats"": 3, ""eval_seed"": 38116, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38116, ""tau"": 1.0}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-22 01:03:36,run,CiteSeer,gca,9,38117,38117,,0.718000,0.010100,0.659600,0.010700,0.712950,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""eval_repeats"": 3, ""eval_seed"": 38117, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38117, ""tau"": 1.0}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-22 01:04:04,run,CiteSeer,gca,10,38118,38118,,0.723100,0.002700,0.652800,0.015200,0.721750,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""eval_repeats"": 3, ""eval_seed"": 38118, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38118, ""tau"": 1.0}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-22 01:04:31,run,CiteSeer,ifl-gr,1,38109,38109,,0.718000,0.002600,0.644700,0.000600,0.716700,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38109, ""max_du_per_node"": 12, ""seed"": 38109, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
