timestamp,similarity_percentile,max_du_per_node,unlabeled_weight,warmup_epochs,tau,update_interval,beta,use_mutual_topk,corrected_ramp_epochs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,delta_vs_grace
2026-04-10 12:38:48,99.3,12,0.5,60,0.7,3,2.5,True,30,0.707300,0.004800,0.633800,0.007700,0.704900,-0.004100
2026-04-10 12:38:48,99.3,10,0.3,80,0.7,3,2.5,True,30,0.706700,0.003600,0.620300,0.006800,0.704900,-0.004100
2026-04-10 12:38:48,99.5,12,0.3,60,0.7,3,2.5,True,30,0.706700,0.003900,0.639900,0.023600,0.704750,-0.004250
2026-04-10 12:38:48,99.3,10,0.5,80,0.9,3,2.5,True,30,0.710000,0.011300,0.651100,0.011500,0.704350,-0.004650
2026-04-10 12:38:48,99.5,10,0.5,60,0.7,3,2.5,True,30,0.706400,0.004600,0.641300,0.010900,0.704100,-0.004900
2026-04-10 12:38:48,99.5,10,0.4,60,0.7,3,2.5,True,30,0.707000,0.005900,0.624000,0.010100,0.704050,-0.004950
2026-04-10 12:38:48,99.5,10,0.4,60,0.9,3,2.5,True,30,0.708200,0.008900,0.629600,0.003200,0.703750,-0.005250
2026-04-10 12:38:48,99.3,10,0.3,80,0.9,3,2.5,True,30,0.707200,0.007000,0.632800,0.011400,0.703700,-0.005300
2026-04-10 12:38:48,99.5,8,0.3,60,0.7,3,2.5,True,30,0.707000,0.006900,0.626100,0.024100,0.703550,-0.005450
2026-04-10 12:38:48,99.3,8,0.3,60,0.9,3,2.5,True,30,0.706000,0.005100,0.631000,0.014400,0.703450,-0.005550
2026-04-10 12:38:48,99.3,10,0.5,60,0.7,3,2.5,True,30,0.704500,0.002400,0.638700,0.017500,0.703300,-0.005700
2026-04-10 12:38:48,99.3,10,0.3,60,0.7,3,2.5,True,30,0.706500,0.006700,0.637800,0.007000,0.703150,-0.005850
2026-04-10 12:38:48,99.3,12,0.3,60,0.9,3,2.5,True,30,0.704000,0.002000,0.639500,0.002300,0.703000,-0.006000
2026-04-10 12:38:48,99.5,12,0.5,60,0.9,3,2.5,True,30,0.709200,0.012500,0.648700,0.013600,0.702950,-0.006050
2026-04-10 12:38:48,99.5,10,0.3,60,0.7,3,2.5,True,30,0.704400,0.004800,0.630100,0.012600,0.702000,-0.007000
2026-04-10 12:38:48,99.3,10,0.3,60,0.9,3,2.5,True,30,0.705400,0.007100,0.633800,0.020700,0.701850,-0.007150
2026-04-10 12:38:48,99.5,10,0.4,80,0.9,3,2.5,True,30,0.704400,0.005600,0.647000,0.011000,0.701600,-0.007400
2026-04-10 12:38:48,99.3,10,0.4,60,0.7,3,2.5,True,30,0.704400,0.005800,0.643500,0.001400,0.701500,-0.007500
2026-04-10 12:38:48,99.3,12,0.4,60,0.7,3,2.5,True,30,0.704300,0.006300,0.635000,0.012300,0.701150,-0.007850
2026-04-10 12:38:48,99.3,8,0.5,60,0.7,3,2.5,True,30,0.704300,0.006500,0.627300,0.007000,0.701050,-0.007950
2026-04-10 12:38:48,99.5,12,0.4,60,0.7,3,2.5,True,30,0.705000,0.008200,0.641400,0.008900,0.700900,-0.008100
2026-04-10 12:38:48,99.5,12,0.4,60,0.9,3,2.5,True,30,0.704500,0.007700,0.636900,0.027400,0.700650,-0.008350
2026-04-10 12:38:48,99.5,10,0.5,60,0.9,3,2.5,True,30,0.702500,0.004800,0.637700,0.008300,0.700100,-0.008900
2026-04-10 12:38:48,99.3,10,0.4,80,0.7,3,2.5,True,30,0.700400,0.003300,0.628800,0.015900,0.698750,-0.010250
2026-04-10 12:38:48,99.5,8,0.5,80,0.9,3,2.5,True,30,0.704000,0.011400,0.613100,0.016100,0.698300,-0.010700
2026-04-10 12:38:48,99.3,10,0.5,80,0.7,3,2.5,True,30,0.702700,0.010500,0.621800,0.021300,0.697450,-0.011550
2026-04-10 12:38:48,99.3,12,0.5,80,0.7,3,2.5,True,30,0.699700,0.006500,0.630500,0.018100,0.696450,-0.012550
2026-04-10 12:38:48,99.3,8,0.3,60,0.7,3,2.5,True,30,0.698300,0.004500,0.632700,0.015700,0.696050,-0.012950
