timestamp,gca_drop_scheme,similarity_percentile,max_du_per_node,unlabeled_weight,iflgc_refl_du_weight,warmup_epochs,tau,drop_edge_rate_1,drop_edge_rate_2,drop_feature_rate_1,drop_feature_rate_2,update_interval,beta,use_mutual_topk,corrected_ramp_epochs,gca_pr_k,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,delta_vs_grace
2026-04-10 13:05:40,degree,99.3,10,0.3,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.713500,0.006400,0.652300,0.006300,0.710300,0.000650
2026-04-10 13:05:40,pr,99.5,10,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.711500,0.002600,0.658000,0.006900,0.710200,0.000550
2026-04-10 13:05:40,pr,99.3,8,0.4,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.716100,0.012000,0.665300,0.006600,0.710100,0.000450
2026-04-10 13:05:40,pr,99.5,8,0.3,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.712900,0.006400,0.657200,0.007400,0.709700,0.000050
2026-04-10 13:05:40,pr,99.3,8,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.712200,0.005200,0.661200,0.009100,0.709600,-0.000050
2026-04-10 13:05:40,degree,99.3,8,0.3,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.712300,0.005600,0.657300,0.007400,0.709500,-0.000150
2026-04-10 13:05:40,pr,99.5,10,0.3,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.712500,0.006100,0.654300,0.012600,0.709450,-0.000200
2026-04-10 13:05:40,pr,99.3,10,0.3,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.711500,0.004300,0.649200,0.008000,0.709350,-0.000300
2026-04-10 13:05:40,pr,99.5,10,0.3,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.710600,0.002600,0.651500,0.014000,0.709300,-0.000350
2026-04-10 13:05:40,pr,99.5,8,0.3,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.712400,0.006300,0.653900,0.012900,0.709250,-0.000400
2026-04-10 13:05:40,pr,99.5,10,0.4,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.716900,0.015400,0.666400,0.009600,0.709200,-0.000450
2026-04-10 13:05:40,pr,99.3,8,0.3,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.714300,0.011800,0.656900,0.009600,0.708400,-0.001250
2026-04-10 13:05:40,pr,99.5,8,0.3,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.712500,0.008800,0.652500,0.020200,0.708100,-0.001550
2026-04-10 13:05:40,degree,99.5,8,0.3,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.709300,0.003200,0.655100,0.011500,0.707700,-0.001950
2026-04-10 13:05:40,degree,99.3,8,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.709300,0.004400,0.651600,0.008600,0.707100,-0.002550
2026-04-10 13:05:40,degree,99.3,8,0.4,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.710500,0.007000,0.659700,0.002300,0.707000,-0.002650
2026-04-10 13:05:40,degree,99.3,10,0.4,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.713100,0.012500,0.653800,0.010500,0.706850,-0.002800
2026-04-10 13:05:40,pr,99.5,10,0.3,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.710500,0.008100,0.653600,0.007100,0.706450,-0.003200
2026-04-10 13:05:40,degree,99.5,10,0.3,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.709000,0.005100,0.656500,0.010800,0.706450,-0.003200
2026-04-10 13:05:40,pr,99.3,10,0.3,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.709500,0.009000,0.656900,0.002900,0.705000,-0.004650
2026-04-10 13:05:40,degree,99.3,10,0.4,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.705500,0.002000,0.656900,0.008200,0.704500,-0.005150
2026-04-10 13:05:40,degree,99.3,10,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.709200,0.009500,0.645400,0.010800,0.704450,-0.005200
2026-04-10 13:05:40,degree,99.5,10,0.4,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.708600,0.009800,0.655600,0.002100,0.703700,-0.005950
2026-04-10 13:05:40,degree,99.3,8,0.3,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.709000,0.011600,0.649300,0.018300,0.703200,-0.006450
2026-04-10 13:05:40,pr,99.5,10,0.4,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.705100,0.004800,0.643000,0.011500,0.702700,-0.006950
2026-04-10 13:05:40,degree,99.5,10,0.3,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.707800,0.012500,0.658000,0.008400,0.701550,-0.008100
2026-04-10 13:05:40,degree,99.5,8,0.3,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.708700,0.016500,0.652400,0.013800,0.700450,-0.009200
2026-04-10 13:05:40,degree,99.3,8,0.4,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.704100,0.007600,0.653100,0.006500,0.700300,-0.009350
2026-04-10 13:05:40,pr,99.5,8,0.3,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.702100,0.010600,0.647700,0.005800,0.696800,-0.012850
2026-04-10 13:05:40,pr,99.5,8,0.4,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.706400,0.019800,0.656200,0.016800,0.696500,-0.013150
2026-04-10 13:05:40,degree,99.5,10,0.4,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.701700,0.014800,0.650100,0.015300,0.694300,-0.015350
2026-04-10 13:05:40,pr,99.3,10,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.696300,0.007200,0.644000,0.002200,0.692700,-0.016950
2026-04-10 13:05:40,degree,99.5,10,0.3,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.691200,0.011500,0.652100,0.017600,0.685450,-0.024200
