timestamp,stage,method,candidate_rank,run_idx,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,delta_vs_grace,grid_csv,params_json,notes
2026-04-11 21:58:44,top_verify,gca,2,1,0.712200,0.007500,0.620900,0.013700,0.708450,0.003433,results/grid_search_gca_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:57:31"", ""gca_drop_scheme"": ""uniform"", ""drop_edge_rate_1"": ""0.7"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.5"", ""drop_feature_rate_2"": ""0.6"", ""tau"": ""0.3"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.715900"", ""F1Mi_std"": ""0.006400"", ""F1Ma_mean"": ""0.635900"", ""F1Ma_std"": ""0.005500"", ""robust_score"": ""0.712700"", ""delta_vs_grace"": ""0.004650""}",
2026-04-11 21:59:02,top_verify,gca,2,2,0.716800,0.011700,0.617000,0.015300,0.710950,0.005933,results/grid_search_gca_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:57:31"", ""gca_drop_scheme"": ""uniform"", ""drop_edge_rate_1"": ""0.7"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.5"", ""drop_feature_rate_2"": ""0.6"", ""tau"": ""0.3"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.715900"", ""F1Mi_std"": ""0.006400"", ""F1Ma_mean"": ""0.635900"", ""F1Ma_std"": ""0.005500"", ""robust_score"": ""0.712700"", ""delta_vs_grace"": ""0.004650""}",
2026-04-11 21:59:20,top_verify,gca,2,3,0.720000,0.014000,0.614000,0.011500,0.713000,0.007983,results/grid_search_gca_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:57:31"", ""gca_drop_scheme"": ""uniform"", ""drop_edge_rate_1"": ""0.7"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.5"", ""drop_feature_rate_2"": ""0.6"", ""tau"": ""0.3"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.715900"", ""F1Mi_std"": ""0.006400"", ""F1Ma_mean"": ""0.635900"", ""F1Ma_std"": ""0.005500"", ""robust_score"": ""0.712700"", ""delta_vs_grace"": ""0.004650""}",
2026-04-11 21:59:38,top_verify,gca,3,1,0.706200,0.005600,0.612300,0.014600,0.703400,-0.001617,results/grid_search_gca_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:57:31"", ""gca_drop_scheme"": ""uniform"", ""drop_edge_rate_1"": ""0.6"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.5"", ""drop_feature_rate_2"": ""0.6"", ""tau"": ""0.3"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.711100"", ""F1Mi_std"": ""0.000800"", ""F1Ma_mean"": ""0.634000"", ""F1Ma_std"": ""0.009400"", ""robust_score"": ""0.710700"", ""delta_vs_grace"": ""0.002650""}",
2026-04-11 21:59:56,top_verify,gca,3,2,0.713300,0.001900,0.636100,0.018500,0.712350,0.007333,results/grid_search_gca_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:57:31"", ""gca_drop_scheme"": ""uniform"", ""drop_edge_rate_1"": ""0.6"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.5"", ""drop_feature_rate_2"": ""0.6"", ""tau"": ""0.3"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.711100"", ""F1Mi_std"": ""0.000800"", ""F1Ma_mean"": ""0.634000"", ""F1Ma_std"": ""0.009400"", ""robust_score"": ""0.710700"", ""delta_vs_grace"": ""0.002650""}",
2026-04-11 22:00:14,top_verify,gca,3,3,0.715800,0.011000,0.626200,0.007000,0.710300,0.005283,results/grid_search_gca_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:57:31"", ""gca_drop_scheme"": ""uniform"", ""drop_edge_rate_1"": ""0.6"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.5"", ""drop_feature_rate_2"": ""0.6"", ""tau"": ""0.3"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.711100"", ""F1Mi_std"": ""0.000800"", ""F1Ma_mean"": ""0.634000"", ""F1Ma_std"": ""0.009400"", ""robust_score"": ""0.710700"", ""delta_vs_grace"": ""0.002650""}",
2026-04-11 23:13:30,top_verify,sg-gc,1,1,0.720700,0.003900,0.648300,0.009600,0.718750,0.013733,results/grid_search_sggc_dblp_results.csv,"{""timestamp"": ""2026-04-11 23:05:12"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""sggc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""40"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.717400"", ""F1Mi_std"": ""0.002200"", ""F1Ma_mean"": ""0.640000"", ""F1Ma_std"": ""0.004500"", ""robust_score"": ""0.716300"", ""delta_vs_grace"": ""0.009000""}",
2026-04-11 23:21:21,top_verify,sg-gc,1,2,0.722000,0.002500,0.638500,0.018200,0.720750,0.015733,results/grid_search_sggc_dblp_results.csv,"{""timestamp"": ""2026-04-11 23:05:12"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""sggc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""40"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.717400"", ""F1Mi_std"": ""0.002200"", ""F1Ma_mean"": ""0.640000"", ""F1Ma_std"": ""0.004500"", ""robust_score"": ""0.716300"", ""delta_vs_grace"": ""0.009000""}",
2026-04-11 23:29:19,top_verify,sg-gc,1,3,0.719600,0.004700,0.647700,0.008300,0.717250,0.012233,results/grid_search_sggc_dblp_results.csv,"{""timestamp"": ""2026-04-11 23:05:12"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""sggc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""40"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.717400"", ""F1Mi_std"": ""0.002200"", ""F1Ma_mean"": ""0.640000"", ""F1Ma_std"": ""0.004500"", ""robust_score"": ""0.716300"", ""delta_vs_grace"": ""0.009000""}",
2026-04-11 23:37:48,top_verify,sg-gc,2,1,0.719100,0.001900,0.645300,0.007900,0.718150,0.013133,results/grid_search_sggc_dblp_results.csv,"{""timestamp"": ""2026-04-11 23:05:12"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""sggc_refl_du_weight"": ""0.5"", ""warmup_epochs"": ""100"", ""tau"": ""0.7"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""40"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.720000"", ""F1Mi_std"": ""0.007900"", ""F1Ma_mean"": ""0.649800"", ""F1Ma_std"": ""0.012700"", ""robust_score"": ""0.716050"", ""delta_vs_grace"": ""0.008750""}",
